date,Switch Value : 0.5,Switch Value : 1.0,Switch Value : 1.5,Switch Value : 2.0,Switch Value : 2.5
2018-01-02,10000.0,10000.0,10000.0,10000.0,10000.0
2018-01-03,10000.0,10000.0,10000.0,10000.0,10000.0
2018-01-04,10061.25574272588,9942.05613716272,9942.05613716272,9942.05613716272,9942.05613716272
2018-01-05,10222.261922417836,10101.154814093265,10101.154814093265,10101.154814093265,10101.154814093265
2018-01-08,10109.929373819838,10214.81197988916,10214.81197988916,10214.81197988916,10214.81197988916
2018-01-09,10056.261408389053,10160.587251313087,10160.587251313087,10160.587251313087,10160.587251313087
2018-01-10,10125.587362594855,10230.632408045089,10230.632408045089,10230.632408045089,10230.632408045089
2018-01-11,9975.73723249303,10079.227700103618,10079.227700103618,10079.227700103618,10079.227700103618
2018-01-12,9735.679384652289,10327.924594411004,10327.924594411004,10327.924594411004,10327.924594411004
2018-01-16,10018.978393047319,10044.975613795572,10044.975613795572,10044.975613795572,10044.975613795572
2018-01-17,10198.937960344334,9851.377515512067,9851.377515512067,9851.377515512067,9851.377515512067
2018-01-18,10147.601024302332,9801.790044796402,9904.229220165405,9904.229220165405,9904.229220165405
2018-01-19,10141.848416011911,9796.233474476223,9898.614577750346,9898.614577750346,9898.614577750346
2018-01-22,9814.135627059146,10126.312984657976,10232.143771375091,10232.143771375091,10232.143771375091
2018-01-23,9663.23821351477,10284.004097512681,10391.482924790758,10391.482924790758,10391.482924790758
2018-01-24,9902.485053342129,10020.886503066531,10125.615470443818,10125.615470443818,10125.615470443818
2018-01-25,9687.830151250786,10243.840682629647,10350.899759323205,10350.899759323205,10350.899759323205
2018-01-26,9421.139434938676,9961.843871498011,10065.955780311315,10065.955780311315,10065.955780311315
2018-01-29,9501.908542157991,10047.24853420528,9991.953783562394,9991.953783562394,9991.953783562394
2018-01-30,9524.224120062012,10005.681903153603,9950.615913299429,9950.615913299429,9950.615913299429
2018-01-31,9476.081575107135,10059.96227514178,10004.597554782065,10004.597554782065,10004.597554782065
2018-02-01,9448.183695589578,10030.345432644313,9975.143707747005,9975.143707747005,9975.143707747005
2018-02-02,9890.81115616954,10500.24594163459,10442.458132459271,10442.458132459271,10442.458132459271
2018-02-05,8994.212219776278,9548.401932635916,9495.852570280073,11334.640208257779,11334.640208257779
2018-02-06,10157.108971352553,10782.952032064537,10723.608357845933,12800.140015954852,12800.140015954852
2018-02-07,10437.751727202889,11080.886944746448,11019.903594088222,13153.810197054561,12410.4323850518
2018-02-08,9050.970537708703,12577.211094219509,12507.99276555269,14930.054639722513,14086.293692522298
2018-02-09,9113.228938494854,12663.725247128703,12594.030790246692,15032.753164885793,14183.188286825387
2018-02-12,8877.463811727823,12336.106484516418,12859.72432048787,15349.89589100299,14482.407927364964
2018-02-13,8601.572705799439,11952.72873913295,12460.073740101781,15813.989938783694,14920.274044786753
2018-02-14,9243.750386756241,12845.097598333185,13390.320048846506,16994.63349466682,16034.194407148047
2018-02-15,8993.778545311565,12497.737212575443,13028.215619356573,17432.40537427967,16447.225934182614
2018-02-16,9004.116221800428,12512.102427762311,13043.190579838592,17364.144035566394,16382.822334318907
2018-02-20,8866.376200277136,12320.699161161981,12843.663018560608,17098.516903010986,16132.20692183924
2018-02-21,9068.237654924427,12601.20544679264,13136.075661715227,17487.800124970956,16499.49009168847
2018-02-22,9183.756605942574,12761.730356942864,13303.414205176568,17710.574648855938,16709.674678843738
2018-02-23,8834.870469539144,12276.91885887081,12798.024419474361,17037.759130343,16074.882829559785
2018-02-26,8616.994502349524,11974.158837690271,12482.41345968461,17447.315982936947,16461.293880867943
2018-02-27,8944.222141679253,12428.873730260788,12014.279188173014,16792.980458490125,15843.937642513287
2018-02-28,8620.618073338776,11979.194144904766,12461.738375814466,17418.417347074486,16434.028429943948
2018-03-01,8187.517247336737,12582.824803676212,13089.684400750528,18296.13003882869,17262.137840930925
2018-03-02,8718.408011332538,13398.71382979361,12309.934861158108,17206.233709985063,16233.836193484405
2018-03-05,8325.096371723552,12794.2605743142,12877.471267615001,17999.508748282355,16982.279882275234
2018-03-06,8335.330048886088,12809.98799972823,12848.715832316386,17959.315786600528,16944.358395965588
2018-03-07,8095.032245674957,13194.079379380686,13233.968417322823,18497.80328387499,17452.413672346032
2018-03-08,8124.982619765179,13242.895443504416,13282.932064751007,18566.24231059973,17516.98491831523
2018-03-09,8407.31571524403,13703.069678778711,13744.497523088545,19211.396264555333,18125.67847581446
2018-03-12,8373.369622181135,13647.740999052821,13689.001570774593,19312.89078324976,18221.437107179892
2018-03-13,8112.0121085667015,13221.754829217758,13261.727537042188,18710.07861281288,17652.692418757335
2018-03-14,7983.632217088885,13012.508661016318,13489.924039995925,19032.025696818924,17956.44490246858
2018-03-15,8040.955947107147,13105.940511715522,13586.783807907123,19168.67862284047,18085.37498988839
2018-03-16,8140.485694986649,13268.163879612977,13754.958982076658,19405.94565465413,18309.23305165248
2018-03-19,7834.196309320438,12768.943327440269,13237.422548215127,18675.78834026975,17620.340035494515
2018-03-20,7889.871771693647,12859.688669489811,13331.497242274632,18540.12886080048,17492.347250733055
2018-03-21,7832.836335184177,12766.726707893471,13235.124603207685,18406.10331854625,17365.896062438696
2018-03-22,8096.6600909569315,13196.732601655272,13680.9069649882,19026.053372248738,17950.810099384948
2018-03-23,7469.993563297629,12175.32988707618,12622.030049486386,17553.47200315257,19329.319619348928
2018-03-26,7831.962239600236,12765.30202097813,13233.647646014464,18404.049312444266,18259.628439528842
2018-03-27,8783.99118249775,14317.012386402417,14842.288647296462,20641.188240843177,20479.21201630989
2018-03-28,8632.073923119111,14069.402702029554,14585.594421703807,20284.20328005274,20125.0283998747
2018-03-29,8973.764868333925,13537.645749511901,14034.327860883506,19517.556226948385,19364.397405233765
2018-04-02,9530.426218455174,14377.414148946864,14904.906487547938,18214.718925074038,18071.78377192328
2018-04-03,9586.300124719459,14461.70442852801,14992.289289625618,18321.50612162975,18177.732984409242
2018-04-04,8626.258286014123,13013.404132298401,16674.41588880479,20377.16901532429,20217.264611310962
2018-04-05,8747.41359901994,13196.176662246413,16446.280072856654,20098.37291769635,19940.656291769315
2018-04-06,8354.784997781084,12603.864851909795,15708.087020991397,19196.255285264273,19045.617787073556
2018-04-09,8302.925424347171,12525.630516135468,15610.584249515203,19077.100859281236,19186.92072773017
2018-04-10,8156.214428444847,12756.886546039426,15898.79662599986,19429.314234976107,19541.161666568416
2018-04-11,8142.665899493942,12735.695704600823,15872.386664827101,19397.03962661236,19546.64422935052
2018-04-12,8013.928098711429,12534.34083180081,15621.439840086752,19090.367063345762,19237.606375922052
2018-04-13,8252.24316170518,12907.082162659026,15146.580745557656,18510.05983746087,18652.823382927036
2018-04-16,8228.434035445212,12869.843033511135,15102.880281779358,18456.65516395406,18599.006812289623
2018-04-17,7938.9423192309805,13294.298350552728,15600.982536915797,19065.366971762815,19212.413464772733
2018-04-18,7909.4477966827535,13244.907768445411,15543.0222302771,19170.082387606897,19317.936524901175
2018-04-19,7807.1596572464605,13073.619328662322,15342.013655971978,18922.16722201327,19068.109250523146
2018-04-20,7490.302947345798,13568.594098918167,15922.871144148801,19638.57138967363,19790.038867580213
2018-04-23,7329.538932930894,13277.372011822019,16268.006605386941,20064.24634070932,20218.996944967716
2018-04-24,7896.299792279619,14304.05252203849,17525.93967429186,21615.72585426417,21782.442638968125
2018-04-25,7889.417328154051,14291.585020686853,17510.66395601263,21604.022700038797,21770.649221188498
2018-04-26,7694.178654116493,13937.912500489878,17077.32918994708,21069.38996730443,21231.892997492043
2018-04-27,8018.8275424758385,14526.01007435021,17797.891603025015,20233.412852789716,20389.468196808582
2018-04-30,7795.794911042298,14121.989133140123,17302.86778848791,19670.648372878528,19822.363252678475
2018-05-01,8120.116868420274,13558.696308166556,16612.697219396538,18886.03262317382,19031.69595439748
2018-05-02,8301.73219567158,13234.634356397555,16215.6425938849,18434.64375407197,18576.825633809098
2018-05-03,8188.719392100328,13054.469169469852,15994.896466685106,18183.690010397706,18323.93634554397
2018-05-04,7630.7146635074605,12164.897164735961,14904.954629091573,16944.596994356976,17075.28650939106
2018-05-07,7541.2186273305215,12022.222444902638,14730.14343282445,17093.539700028334,17225.377973571016
2018-05-08,7517.827750694881,12046.82189138037,14760.283731479358,17128.515896558794,17260.623932915183
2018-05-09,7716.016727624363,12364.406622645818,15149.402188158601,17580.066950192017,17715.6576889244
2018-05-10,7555.475417296678,12107.149787844344,15473.701671026725,17956.399068774925,18094.89236471098
2018-05-11,7540.494302787828,12132.654310730837,15506.298061203022,17994.225427499616,18133.01046885038
2018-05-14,7550.548295191546,12148.831183145145,15526.973125284627,18018.217728069616,18157.18781614218
2018-05-15,7484.41294099208,12042.41940720584,15390.97215858129,17860.39591634134,17998.14876354099
2018-05-16,7604.8463120316965,11840.156548945277,15132.467458243362,17560.41510637695,17695.85427526446
2018-05-17,7614.7291532429135,11827.09248074838,15115.770754441804,17541.03947907277,17676.329208505525
2018-05-18,7648.963645261347,11880.265022408777,15183.728619105319,17619.900928240084,17755.79889666194
2018-05-21,7699.022307861224,11958.015447948103,15283.098570801034,17735.214415990347,17872.001769022296
2018-05-22,7835.961439819231,11745.242051586267,15011.160739310773,17419.645179362276,17553.998624375738
2018-05-23,7468.960714156811,11195.148436511974,14308.106375570902,16603.788379822523,16731.8493217151
2018-05-24,7473.913605877075,11189.0907021061,14300.364208616551,16594.80401121797,16722.795658882056
2018-05-25,7454.102038996022,11159.431084605487,14262.457345240497,16550.81513378598,16678.467506042078
2018-05-29,7460.904364396525,11169.61475007248,14275.472712532972,16565.918767945346,16693.68763082227
2018-05-30,7543.054682620597,11043.697342412512,14114.542317232534,16379.1676943014,16505.496192013266
2018-05-31,7548.103581337211,11035.798933649898,14104.447652260997,16367.453378196036,16493.69152626481
2018-06-01,7302.136865855754,10676.1802311277,13644.83225015066,15834.094408641788,15956.218889971049
2018-06-04,7167.8684369220555,10479.871400852368,13393.937173415216,16127.119279174727,16251.503789363667
2018-06-05,7152.274814506706,10504.134267895459,13424.946649046344,16164.456583793452,16289.129067442895
2018-06-06,7247.560217378453,10644.074453569709,13603.7990398118,16379.80579753809,16506.139216783504
2018-06-07,7413.862487355308,10383.537333826509,13270.816154840602,15978.874045034958,16102.115176141924
2018-06-08,7527.767835732303,10213.678614994355,13053.725990145485,15717.484213572792,15838.709309106885
2018-06-11,7605.567600477197,10319.23736903226,13188.636741013353,15879.92500623289,16002.402967705406
2018-06-12,7694.294941572807,10439.622663330512,13342.496746232762,16065.181859713797,16189.088661798232
2018-06-13,7740.026263662393,10388.945011666061,13277.727508469532,15987.195737373153,16110.501051649322
2018-06-14,7600.98387569241,10202.317256965473,13039.20545741918,15700.000604366449,15821.090853116699
2018-06-15,7589.527984395209,10218.604854138026,13060.022034731124,15725.065036202088,15846.348600759275
2018-06-18,7465.846787612472,10052.079441700222,12847.192046016988,15468.80471709361,15588.111808746902
2018-06-19,7695.317363458628,10361.040571436439,13242.063872438226,15944.25453907132,16067.22865843132
2018-06-20,7625.306894647784,10266.77788238622,13121.590205668508,15799.196878367107,15921.052203616176
2018-06-21,7883.79187412737,9931.956966135633,12693.667939729161,15283.952306463618,15401.833676873368
