date,Switch Value : 0.5,Switch Value : 1.0,Switch Value : 1.5,Switch Value : 2.0,Switch Value : 2.5,qqq_intraday,qqq_simple_investment
2018-01-02,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,
2018-01-03,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10097.16353148802
2018-01-04,10061.25574272588,9942.05613716272,9942.05613716272,9942.05613716272,9942.05613716272,9983.18568505529,10114.828718249079
2018-01-05,10222.261922417836,10101.154814093265,10101.154814093265,10101.154814093265,10101.154814093265,10035.86846923386,10216.413050299343
2018-01-08,10109.929373819838,10214.81197988916,10214.81197988916,10214.81197988916,10214.81197988916,10074.916432489666,10256.165225244142
2018-01-09,10056.261408389053,10160.587251313087,10160.587251313087,10160.587251313087,10160.587251313087,10055.740405039916,10256.795767321166
2018-01-10,10125.587362594855,10230.632408045089,10230.632408045089,10230.632408045089,10230.632408045089,10076.865683029631,10232.820155487672
2018-01-11,9975.73723249303,10079.227700103618,10079.227700103618,10079.227700103618,10079.227700103618,10128.347049900245,10302.853363036202
2018-01-12,9735.679384652289,10327.924594411004,10327.924594411004,10327.924594411004,10327.924594411004,10211.534932277207,10378.5704570219
2018-01-16,10018.978393047319,10044.975613795572,10044.975613795572,10044.975613795572,10044.975613795572,10115.32784574691,10348.913961332555
2018-01-17,10198.937960344334,9851.377515512067,9851.377515512067,9851.377515512067,9851.377515512067,10176.092867587631,10460.595974359156
2018-01-18,10147.601024302332,9801.790044796402,9904.229220165405,9904.229220165405,9904.229220165405,10193.92138149618,10462.486599729786
2018-01-19,10141.848416011911,9796.233474476223,9898.614577750346,9898.614577750346,9898.614577750346,10195.760147668885,10495.295805804248
2018-01-22,9814.135627059146,10126.312984657976,10232.143771375091,10232.143771375091,10232.143771375091,10308.582865202232,10607.60736004743
2018-01-23,9663.23821351477,10284.004097512681,10391.482924790758,10391.482924790758,10391.482924790758,10361.763704803203,10695.307756077897
2018-01-24,9902.485053342129,10020.886503066531,10125.615470443818,10125.615470443818,10125.615470443818,10272.706856016488,10625.905090606391
2018-01-25,9687.830151250786,10243.840682629647,10350.899759323205,10350.899759323205,10350.899759323205,10198.798061047206,10622.11983642337
2018-01-26,9421.139434938676,9961.843871498011,10065.955780311315,10065.955780311315,10065.955780311315,10297.599072675785,10784.902780920753
2018-01-29,9501.908542157991,10047.24853420528,9991.953783562394,9991.953783562394,9991.953783562394,10269.22430614799,10732.535760993722
2018-01-30,9524.224120062012,10005.681903153603,9950.615913299429,9950.615913299429,9950.615913299429,10278.362964941594,10644.201820304912
2018-01-31,9476.081575107135,10059.96227514178,10004.597554782065,10004.597554782065,10004.597554782065,10263.216540929323,10688.368790649318
2018-02-01,9448.183695589578,10030.345432644313,9975.143707747005,9975.143707747005,9975.143707747005,10254.668985906184,10597.509679071096
2018-02-02,9890.81115616954,10500.24594163459,10442.458132459271,10442.458132459271,10442.458132459271,10089.785040271308,10386.142967108823
2018-02-05,8994.212219776278,9548.401932635916,9495.852570280073,11334.640208257779,11334.640208257779,9783.508245812327,9976.651927662211
2018-02-06,10157.108971352553,10782.952032064537,10723.608357845933,12800.140015954852,12800.140015954852,10191.651526694322,10241.02220679118
2018-02-07,10437.751727202889,11080.886944746448,11019.903594088222,13153.810197054561,12410.4323850518,10092.123291144493,10108.522296618403
2018-02-08,9050.970537708703,12577.211094219509,12507.99276555269,14930.054639722513,14086.293692522298,9641.615834302134,9681.996612487756
2018-02-09,9113.228938494854,12663.725247128703,12594.030790246692,15032.753164885793,14183.188286825387,9671.355467200434,9849.197354966063
2018-02-12,8877.463811727823,12336.106484516418,12859.72432048787,15349.89589100299,14482.407927364964,9743.108595969088,10023.972609252174
2018-02-13,8601.572705799439,11952.72873913295,12460.073740101781,15813.989938783694,14920.274044786753,9849.816215161003,10075.7120896835
2018-02-14,9243.750386756241,12845.097598333185,13390.320048846506,16994.63349466682,16034.194407148047,10093.656880253124,10264.369278268528
2018-02-15,8993.778545311565,12497.737212575443,13028.215619356573,17432.40537427967,16447.225934182614,10189.587671949415,10454.916091363746
2018-02-16,9004.116221800428,12512.102427762311,13043.190579838592,17364.144035566394,16382.822334318907,10177.24881028164,10408.225951850807
2018-02-20,8866.376200277136,12320.699161161981,12843.663018560608,17098.516903010986,16132.20692183924,10233.588864545929,10429.047852438742
2018-02-21,9068.237654924427,12601.20544679264,13136.075661715227,17487.800124970956,16499.49009168847,10154.726849054603,10399.390355888958
2018-02-22,9183.756605942574,12761.730356942864,13303.414205176568,17710.574648855938,16709.674678843738,10109.333596633374,10398.12927173491
2018-02-23,8834.870469539144,12276.91885887081,12798.024419474361,17037.759130343,16074.882829559785,10233.471151910979,10610.76107129299
2018-02-26,8616.994502349524,11974.158837690271,12482.41345968461,17447.315982936947,16461.293880867943,10320.687455810576,10751.464033629713
2018-02-27,8944.222141679253,12428.873730260788,12014.279188173014,16792.980458490125,15843.937642513287,10189.899992629767,10618.33258051947
2018-02-28,8620.618073338776,11979.194144904766,12461.738375814466,17418.417347074486,16434.028429943948,10067.079741100493,10550.189998341575
